loss,categorical_accuracy,val_loss,val_categorical_accuracy
0.5924700668614999,0.803861677646637,0.30952371932842115,0.9032098650932312
0.2489658950585992,0.9187313914299011,0.1859820126383393,0.941728413105011
0.16688326548560334,0.9515405297279358,0.13344769566147416,0.9666666388511658
0.12931941727553306,0.9674171209335327,0.10796042172997086,0.9713580012321472
0.10737600931266622,0.9723196625709534,0.09083907430370648,0.9738271832466125
0.09403979453512251,0.9757891297340393,0.08025481027585489,0.978518545627594
0.08438295395063901,0.9779386520385742,0.07685479038843403,0.9782716035842896
0.07792634841858403,0.9797488451004028,0.06692894575772462,0.9819753170013428
0.07205046468905052,0.9808047413825989,0.0625227073000537,0.9837037324905396
0.06717770183375686,0.9822000861167908,0.059310732064423735,0.9844444394111633
0.06349925886970703,0.9832183122634888,0.05660638799545942,0.985679030418396
0.05969253413961651,0.9838594198226929,0.05442425146423004,0.9866666793823242
